Kw[0]	Kw[1]	Kw[2]	Kw[3]	Kw[4]	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.25	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.166667	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.25	
0.0833333	0.0833333	0.166667	0.166667	0.25	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.25	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.166667	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.166667	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.166667	0.333333	0.333333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.25	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.25	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.25	
0.166667	0.166667	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.166667	0.166667	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.166667	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.166667	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.25	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.166667	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.166667	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.25	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.0833333	0.0833333	0.25	0.166667	
0.166667	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.333333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.25	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.166667	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.25	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.25	0.25	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.25	0.166667	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.25	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.166667	0.166667	0.0833333	
0.0833333	0.166667	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.166667	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.166667	0.166667	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.166667	0.0833333	
0.0833333	0.166667	0.166667	0.166667	0.166667	
0.166667	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.166667	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.166667	0.166667	0.166667	0.0833333	
0.0833333	0.166667	0.0833333	0.166667	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.166667	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.25	0.166667	0.166667	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.166667	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.166667	0.0833333	0.0833333	
0.166667	0.0833333	0.25	0.333333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.166667	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.25	0.25	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.25	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.25	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.166667	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.166667	0.25	0.25	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.25	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.166667	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.25	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.166667	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.166667	0.0833333	0.166667	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.25	0.166667	0.25	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.166667	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.25	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.0833333	0.166667	0.333333	0.25	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.166667	0.166667	0.166667	0.166667	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.25	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.25	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.166667	0.25	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.25	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.166667	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.0833333	
0.166667	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.25	0.333333	0.25	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.25	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.25	0.166667	0.166667	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.166667	0.166667	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.166667	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.25	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.166667	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.166667	0.166667	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.0833333	0.0833333	0.0833333	0.0833333	0.0833333	
0.166667	0.0833333	0.166667	0.0833333	0.0833333	
