maxhap[0]	maxhap[1]	maxhap[2]	maxhap[3]	maxhap[4]	
1	0.75	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	0.833333	
1	1	0.916667	0.75	1	
1	1	1	0.833333	1	
0.916667	1	1	0.916667	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	0.916667	1	1	1	
1	1	1	1	1	
1	1	1	0.916667	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	0.916667	
1	1	1	1	1	
1	1	1	0.916667	0.916667	
1	1	0.916667	1	1	
1	1	0.916667	0.916667	1	
1	1	1	1	1	
1	1	0.916667	0.916667	0.916667	
1	1	1	1	1	
1	1	1	1	1	
1	1	0.833333	1	1	
1	0.916667	1	1	1	
1	0.916667	1	1	1	
1	1	0.833333	1	1	
1	1	1	0.916667	0.916667	
1	1	1	1	1	
0.916667	1	1	1	1	
0.833333	1	1	1	0.916667	
1	1	1	1	1	
1	1	0.916667	1	1	
1	1	1	0.666667	0.666667	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	0.916667	1	1	
1	1	0.75	0.75	0.666667	
1	1	1	1	1	
1	1	1	0.916667	1	
1	1	0.833333	0.833333	0.833333	
1	1	1	0.916667	1	
0.916667	1	1	1	1	
1	1	0.916667	0.916667	0.916667	
0.916667	0.916667	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	0.916667	1	
0.916667	0.916667	0.916667	1	1	
1	1	1	0.916667	0.916667	
1	1	0.916667	1	1	
1	1	1	1	0.916667	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	0.833333	0.75	0.75	
0.916667	0.916667	1	1	1	
1	1	0.916667	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
1	1	0.916667	0.916667	0.833333	
1	1	0.833333	0.833333	0.833333	
1	1	1	1	1	
1	1	1	1	1	
1	1	1	1	1	
